Gene	ALL1	ALL2	ALL3	ALL4	ALL5	ALL6	ALL7	ALL8	ALL9	ALL10	ALL11	ALL12	ALL13	ALL14	ALL15	ALL16	ALL17	ALL18	ALL19	ALL20	ALL21	ALL22	ALL23	ALL24	ALL25	ALL26	ALL27	AML1	AML2	AML3	AML4	AML5	AML6	AML7	AML8	AML9	AML10	AML11
AB000460_at	0.726099151	0.89661785	0.776696316	0.984817016	0.760536472	0.756469394	0.867592762	1.222878719	0.774269106	0.767623091	0.991828838	0.991652245	0.999235375	0.848376646	0.782508604	0.859486075	1.024794061	0.796100901	0.882761164	0.80569859	0.848630926	1.073776228	0.837066092	1.001599614	0.789799375	0.799822591	1.160356151	0.950156186	0.653596593	0.76559663	0.950469979	0.606663219	1.052291824	1.098675734	0.960716882	0.799911565	0.896453585	0.85995089
AB000464_at	0.10848276	0.125851135	0.975415326	0.685426489	-0.499028868	0.295732893	-0.38107437	0.378953508	0.493093635	-0.585085717	0.141600114	0.390347959	0.351840239	0.035770906	-0.09623407	0.072680717	0.176355147	0.45343913	0.393568008	0.229376012	-0.483596972	0.377351313	0.4741361	0.468848324	-0.047225413	0.314365923	0.557364019	0.128238992	-0.003240511	0.210179152	0.43802515	0.52128187	0.322921343	0.206771424	0.208361074	-0.136384265	0.239955525	-0.626754058
AB000905_at	-1.305767914	-1.233155714	-0.950421218	-1.461773687	-2.040312728	-1.469519707	-1.110508795	-1.468981279	-1.778199291	-1.322816717	-1.180487915	-1.450998488	-1.280398817	-2.081780758	-1.766643145	-1.733246329	-3.219177181	-1.114654209	-0.889229284	-1.311211423	-0.76875823	-0.924737839	-1.149266841	-0.936782609	-1.022867246	-1.372831227	-0.653039085	-1.283873516	-1.514455678	-1.852159026	-1.619934532	-1.570562847	-1.157338545	-1.086424608	-1.273369636	-2.01539671	-1.144966964	-0.986033831
AB001106_at	-0.593288077	-0.309824351	-0.256895472	-0.794092666	-0.053120892	-1.035923935	-0.696279147	-0.714705581	-0.477341098	-0.20815194	-0.14591639	-0.350799562	0.175790282	-0.761432343	-0.5836128	-0.217644658	-1.043836611	-0.768245642	-0.247113378	-0.081409589	0.412543205	-0.353087058	-0.247145245	-0.650877626	-0.864524449	-0.910361188	-0.515986207	-0.735311665	-0.387263993	-0.409854755	-0.406007247	-0.725218942	-0.245595299	-0.685233401	0.171045235	-0.954579714	-0.71505146	-0.281002953
AB001325_at	0.416529683	0.295569026	0.744553385	0.414610658	-0.152804294	0.767905437	0.635660624	0.796997807	0.685580778	0.321502018	0.418082606	0.415347885	0.327768345	0.452444243	-0.413231586	0.25000724	-0.109710324	0.192041287	0.522043288	-0.006518527	0.129056592	0.438962355	0.385678253	0.156050959	0.394905576	0.146785563	0.829434758	0.376335797	0.06808568	-0.354964069	0.440343328	0.494260822	0.755270872	0.369976032	0.698776049	0.242651511	0.388007308	0.612582607
AB002318_at	0.366462124	0.493705675	0.393459545	0.581871747	-0.564969532	0.385048604	0.410923495	0.509422644	0.425463797	0.477096396	0.758907466	0.214659792	0.167785889	0.364953139	0.009466452	0.376454293	0.304720842	-0.073514905	0.314535111	0.596775255	0.487320805	0.185857997	-0.100049101	0.548791829	0.13328333	0.305435092	0.988734142	0.710890662	-1.206501129	0.353951479	0.448020815	0.326860993	0.438520361	0.638341874	0.263108821	0.554872386	0.125918495	0.423795234
AB002382_at	-0.212206255	-0.849032945	-0.490538393	-0.209644478	-0.132740499	0.002554477	-0.520438289	0.344369995	-0.588870646	-0.431212476	-0.051726347	-0.063459325	-0.061723491	-0.276961989	-0.108645355	-0.735671658	-0.435764137	-0.211933121	-0.478142178	0.054076647	-0.286654176	0.449398743	-0.815746499	0.224107119	-0.134804108	-0.336389386	-0.273003565	0.038218573	-0.524133707	-1.24048058	-0.314856801	-1.324378371	0.061666143	0.174886711	0.033842871	-0.037441544	-0.05469179	0.405509664
AB002559_at	0.060032554	0.733790577	0.285202089	0.402072912	0.234993226	0.535547645	0.432631248	0.635926131	0.244368738	0.620063725	0.091777736	0.521195753	0.138043503	0.30225186	0.31058049	0.042464021	0.893496898	0.523633184	0.256998146	0.225169383	-0.773806368	0.944564018	0.327456234	0.136590062	0.208225544	0.109295829	0.601924586	0.383140759	0.603449351	1.018176901	0.818499814	0.677323567	0.426723275	0.859096323	0.577247353	1.146115195	0.869778975	0.446806812
AB003102_at	-0.215321344	0.108217786	0.074264343	-0.00440734	0.169438745	0.315244852	-0.26864917	0.331132203	0.029065419	-0.136015338	0.653754906	-0.138400979	0.283287628	0.081848569	0.296135976	-0.200258102	0.199310688	0.162429562	-0.260404312	0.216075352	-0.172774429	0.126683787	0.051492597	0.112415083	-0.215114254	-0.301148413	0.071778853	-0.12622706	0.141742256	0.053319616	0.215392501	-0.137592214	-0.051730677	0.080511837	-0.255838564	0.111920372	0.45285261	0.001143479
AB003177_at	-0.159443465	0.151075068	0.216877838	-0.006975324	0.387731777	0.089859782	0.148651967	-0.094296836	0.393080752	-0.046064653	0.531380216	-0.457578079	0.036371254	0.109685728	-0.017131024	0.046302127	-0.32810688	-0.263965001	-0.435016483	0.251811239	0.040059838	0.065707251	-0.148689465	0.345675247	-0.26286282	0.09247975	0.333282838	-0.229047996	0.355123813	0.22254047	-0.009306596	-0.728037325	0.000129697	-0.004985593	0.186692062	0.085660715	0.32193052	-0.024947738
AB004884_at	0.400670615	0.298036875	0.195957374	0.267016137	0.416971165	0.021997506	0.338711841	0.092910306	0.213638088	0.424916095	0.487749273	0.094915871	0.616114933	0.349716061	0.23364258	-0.191700192	0.351279733	0.199930416	0.12867797	0.533050273	0.090403088	0.706761214	0.13942488	0.008126213	0.341457045	0.2994245	0.675539859	0.460681705	0.17654127	0.352479927	0.099871921	0.084860253	0.239446968	0.450247121	-0.15013462	0.447023997	0.312351869	0.352111501
AB006190_at	0.224491881	0.128921695	0.195957374	-0.057323709	0.099026335	-0.175275832	0.022027807	0.389915027	-0.112178999	-0.157505075	0.022067021	0.230674831	0.109267381	-0.00905711	-0.360826776	-0.127828124	-0.106623398	0.240739284	0.140774163	0.005673966	-0.117141476	0.275808689	0.030214677	0.07647229	0.054672818	0.029919817	0.391171048	0.08824586	-0.118574447	0.210179152	0.004366628	-0.087586941	0.046953231	0.245200205	0.352260914	-0.040931489	-0.053395458	-0.034286299
AC000064_cds1_at	-0.825423376	-0.059821355	-0.496185978	-0.387779619	-0.335035216	-0.985947285	-0.212462183	-0.218813627	-0.786422892	-0.418396123	-0.838833577	-0.02972811	-0.547181778	-0.046747743	-0.358882582	-0.591158987	-0.767725111	-0.39857545	-0.589175813	-0.54229893	-0.299389756	-0.279586923	-0.29902522	0.218484173	-0.552339358	-0.777582363	0.347662419	-0.335700816	-0.118574447	-0.129668072	-0.003808283	-0.258782943	-0.233006707	-0.047879374	0.346963165	-0.511387948	-0.161742172	-0.014408029
AC000064_cds2_at	-1.896181618	-1.170642246	-1.18813924	-1.284949643	-1.542195612	-1.041679859	-1.095933731	-0.749854191	-1.187113286	-1.679125078	-1.062867777	-1.3950325	-0.987560232	-1.283427373	-0.995865141	-1.253973977	-2.244980613	-1.263121171	-1.32936334	-1.149489675	-0.837410561	-1.227394763	-0.545759092	-1.623531676	-1.331242186	-1.628100267	-0.988250842	-0.988268069	-0.751595768	-1.367532851	-1.009759733	-1.18168223	-0.900453948	-1.495675526	-0.419219499	-1.043449205	-1.092873138	-2.112700661
AC002115_cds1_at	0.988957361	1.620649644	1.431235798	1.295646262	1.384990779	1.331991043	1.146162066	1.221132417	1.417709176	1.402004368	1.407404681	1.616781131	1.139125	1.300669842	1.49374977	1.393604282	1.407209719	1.353008365	1.203809026	1.588699507	0.799682338	1.162284624	1.296406359	1.35221008	1.53289864	1.440627536	1.360930091	1.214369248	1.518600622	1.6757648	1.267041849	0.749246366	0.891408217	1.46410239	1.231836018	1.389999495	1.257309708	1.316897505
AC002115_cds3_at	0.025359966	-0.145137039	0.144476701	0.022092036	-0.281656726	0.226167105	0.296905887	0.10715383	0.036708678	0.306676104	0.164294176	0.338853935	-0.068552333	-0.310330662	-0.204960562	0.143712806	-0.104571879	-0.130777456	0.063730916	-0.557461395	0.038476227	0.266315268	0.430671887	0.173090707	0.024140595	-0.161367771	0.357112348	0.208423471	-0.001410774	-0.379950734	0.319503852	-0.497575789	0.120753067	0.182195603	0.34908636	0.283513414	0.294473515	0.313251046
AC002115_rna2_at	-0.576499969	-0.393312939	-0.197440666	-0.674768176	-0.038124115	-0.138129565	-0.624269667	-0.755856869	-0.165334875	-0.36676753	-0.266062005	-0.02972811	0.055259933	-0.304675266	-0.011002727	-0.27399381	-0.642213686	-0.192460368	-0.627621882	0.056341705	-0.826399877	-0.620360905	-0.866448805	0.110279794	-0.006090647	-0.303305419	-1.597914815	-0.006539247	0.314597142	-0.210921468	-0.142988861	0.064332598	-0.487843657	-0.854149856	-1.584418846	-0.002274966	0.034603778	-0.732658003
AC002486_at	-0.648291714	-1.25111749	-0.721509569	-1.506701193	-1.092136827	-0.70454726	-1.166202742	-1.292803645	-0.781174376	-1.306662556	-0.933926911	-0.484024592	-1.358378712	-1.005768052	-2.44079403	-1.409485861	-3.551904719	-0.795044526	-1.320577928	-1.750644588	-0.951691068	-0.639371791	-0.58820389	-0.925757108	-1.040041127	-0.910361188	-0.757638885	-1.374824327	-0.767934993	-0.784463097	-0.737260257	-1.660328536	-0.958423243	-0.931216525	-0.460710857	-0.569328718	-1.150376766	-0.981590673
AD001527_cds1_at	-1.387157635	-0.908990563	-1.103961875	-1.514428862	-0.783262564	-0.991344706	-0.906761101	-2.62157629	-1.231534828	-0.862542444	-1.304895342	-0.652088791	-1.801460082	-1.191065889	-0.906075751	-1.235689152	-1.622349535	-1.156372814	-1.245680422	-1.085138075	-1.657334368	-2.085670617	-0.719157089	-1.657614649	-1.27453689	-1.839595706	-0.702010421	-0.90822448	-0.894536349	-0.635996532	-1.526331202	-1.125324951	-1.183194845	-1.840371117	-1.414281314	-1.056402367	-0.827435869	-1.046181121
AF000562_at	0.298833201	0.452424388	0.138159942	0.36163855	0.292831637	0.438795985	0.306171138	0.770622794	0.148432611	0.476294978	0.417314887	0.571560418	-0.005394003	0.199341254	0.104182295	0.609740996	0.664977849	0.432197114	0.397412272	0.730658128	0.432677591	0.614279363	0.449980566	-0.399712431	0.738033422	0.36500044	0.487301002	0.604822812	0.689640632	0.589264034	0.451831183	0.562656056	0.175052681	0.70141783	0.073317557	0.818483428	0.739005554	0.658706154
AF002224_at	-1.177205965	-0.423961804	-0.434246695	-0.183844099	-1.037063761	-0.109636016	-0.166179079	0.222747818	-0.425176635	-0.168477499	-0.634802197	-0.069961892	-1.2939958	-1.713744093	-0.151566618	-0.879031612	-0.049117738	-0.15692451	-2.946130611	-1.607692067	-0.019338845	-0.027940603	0.191393376	-0.206431752	-0.98961201	-1.04759676	0.101703333	-0.056448193	-0.347043374	-0.811756709	0.019133299	-0.406323443	-0.080086237	0.045657445	-0.271467699	-0.152385428	-0.95920702	-0.401430554
AF002700_at	-0.550763625	-0.226339937	0.045507005	-0.219528044	-0.822700576	-0.167703693	0.157482901	0.166922706	-0.479139249	-1.091637032	-1.047433823	-0.009413969	-0.841889304	-0.692713665	-1.119008071	-1.247833942	0.082425111	-0.337358268	-0.426671136	-0.603059098	-0.546564259	-0.216913961	-0.069782975	-0.546862038	-0.277993751	-0.33864514	0.437646395	0.038218573	-0.256956417	0.052221604	-0.019023657	0.127509999	0.250353604	-0.155040387	-0.146253776	-0.181212644	-0.377494675	-0.392948105
AF005775_at	-0.387504034	0.005138353	0.031273579	-0.179093683	-0.132740499	-0.041045451	-0.393603101	-0.019160649	-0.40521837	-0.166637945	-0.399464306	-0.031791087	-0.21481854	-0.18584469	-0.288508727	-0.126253613	-0.388092974	0.767027691	-0.386237379	-0.288398971	0.635616515	-0.00048924	-0.045695228	0.004498514	-0.346379654	-0.211647873	0.264779185	-0.249949695	0.490778558	0.153808061	0.611331309	-0.086276118	-0.049503666	0.141712123	0.134712407	0.449496157	0.4608334	-0.241697088
AF006041_at	0.249387581	-0.995454715	0.782726234	-0.204746044	-0.189611858	0.058078138	0.43659091	0.956901962	-0.072036031	0.142833014	0.119350182	-0.515475934	0.646750536	0.154102595	-0.332180491	0.330709686	-0.027384789	0.451531193	0.490372213	0.335938187	0.015920593	0.158896937	-1.557556564	0.6374027	-1.564478674	0.293367731	-0.320481616	0.066387064	0.194687037	-0.04376622	0.720753976	0.001899325	0.388325003	-0.17407776	0.436512239	0.387190346	0.059592117	-0.148089536
AF006084_at	0.446674121	0.231172707	0.47505114	0.306863409	0.483544875	0.506730393	0.590761068	-0.163192403	0.000736488	0.294607818	-0.190077456	0.794155141	0.401523394	0.333323267	0.403172037	0.153859662	-0.446571912	0.294815692	-0.072741073	0.120617912	-0.336335318	-1.000709415	-0.112854542	0.532750287	0.058938781	0.307428482	0.111864191	0.367941264	0.025472003	1.215732174	0.8385897	0.237572861	0.344611686	0.591112332	0.45908017	0.958615353	0.471346648	-1.090665761
AF006087_at	-0.557706573	0.639304874	0.42845188	-0.146573689	0.121373552	-0.636372576	-0.161366794	-0.223618034	0.593622771	0.158694829	-0.304116069	-0.103376604	-0.061723491	-0.097865261	-0.118442705	-0.163249303	-0.059718799	-0.044573277	-0.313567709	0.24067708	-0.535667976	-0.067350721	-0.027268305	0.171103806	-0.869161733	-0.307637219	-0.122898695	-1.000367786	-0.056534548	0.407149816	-0.128371514	-0.255568902	-0.043962223	-0.29119598	-0.208566487	-0.22288198	-0.2569559	-4.224403019
AF007111_at	-0.656072434	-2.096854816	-0.552773349	-0.319733916	-1.259164706	-0.576857971	-1.266054727	-1.142286816	-1.268918075	-1.666308726	-0.907972156	-2.880753681	-0.608770519	-1.122919361	-1.028355714	-0.807827501	-1.343451591	-0.657663103	-0.56566428	-0.486072643	-0.978329109	-0.156873556	-0.347066114	-0.708128079	-1.145207198	-2.129504594	-1.692050126	-1.691733795	-1.025117001	-2.077385011	-1.072541521	-1.236910406	-1.205376717	-1.441237572	-0.088330056	-0.99370969	-3.256632587	-1.435455124
AF007875_at	-0.861049566	-0.445088869	-0.611171971	-0.502636695	-0.350979112	-0.928917463	-0.693278216	-1.031054283	-0.778562844	-0.527399389	-0.498137837	-0.439259757	-0.083794916	-0.677858216	-0.225803242	-0.408538999	-1.034238758	-0.455906473	-0.475191508	0.166281246	0.435378808	-0.695230359	-0.925718602	-0.12068468	-0.927068229	-1.135612095	-0.562990012	-0.735311665	-0.142786837	-0.276080949	-0.561047283	-1.263273779	-1.024367361	-0.907326779	-1.273369636	-0.754139824	-0.572419178	-0.661493983
AF008937_at	-0.632938384	-0.271226026	-0.868155561	-0.410358481	-0.254490413	-0.283234011	-0.59709548	-0.160206954	-0.815915236	-0.563330375	-0.608354847	-0.48788242	-0.568043654	-0.517671503	-0.398758292	-0.657260727	0.071751732	-0.781532793	-0.706757999	-0.406797638	-2.026540114	-0.559009569	-0.433290309	-0.303637526	-0.095815607	-1.075857331	-0.355187019	-0.333894986	-0.362238401	-0.091452971	-0.167981916	0.022849855	-0.231619726	-0.131848739	-0.275988247	-0.236285709	-0.542396356	-0.368031873
AF009368_at	0.3241968	-0.009376555	0.318907998	0.415388077	0.060699702	0.762779958	0.676517186	0.67291643	0.49901899	-0.118551274	0.179062228	0.534591902	0.131742136	0.465922586	0.011838247	0.511180756	-0.158557765	0.271232118	0.296189343	0.253554329	0.459231315	0.526474638	0.720011574	0.458300807	0.463739728	0.114398666	0.736044082	0.434933326	0.154997091	0.011583559	0.497584094	0.095465085	-0.047282633	0.741801273	0.456292802	-0.11170953	0.138117699	0.488839987
AF015910_at	0.467375118	0.384228586	0.69658904	0.411493754	0.234993226	-0.206321689	0.498287389	0.798439262	0.28593781	0.422341533	0.273383343	-0.52762996	0.436237592	-1.093259156	-0.508851213	0.633274157	0.662970001	0.698521173	0.600441388	0.485516364	0.287850513	0.750759641	-0.452847865	0.684689925	-0.082106832	0.632382495	0.317665179	-0.159089993	0.241307563	0.833371431	-0.455952598	0.038789159	0.729654762	0.302811325	-0.616407359	0.702795993	0.323515373	0.060468432
AJ000480_at	0.201740467	0.118638847	0.221001764	0.364946034	0.031598515	0.297809923	0.306171138	-0.841357916	0.112879987	0.018775795	0.024622286	0.15645282	0.012081767	-0.062035827	0.001105559	-0.005040946	0.013540388	0.447701604	-0.021794858	-0.110941337	-0.127115454	0.196384746	-0.030587036	0.26155885	0.225603135	0.102870484	0.733658898	1.036404307	0.280138121	0.79065711	0.43802515	0.603226684	1.079438908	0.311735859	0.02602954	0.889292698	0.672232451	0.369238266
AJ001421_at	-0.025657927	0.197318754	0.102094377	0.336407574	0.590380283	0.288419418	0.049908892	-0.223618034	0.411829312	0.19755986	-0.331912442	0.375160923	0.431983889	0.376613877	0.430077803	-0.092352809	0.555286441	0.149992273	0.237225185	0.511102714	-0.040315339	0.598897064	-0.066296852	0.573222882	-0.039144885	-1.053168412	-0.43170164	0.343020965	0.393415076	0.788188385	0.097472278	-0.096820732	0.002221567	-0.058962741	0.155095057	0.671057009	0.465450723	-0.116209395
D00596_at	0.802473	1.092140147	1.361692366	0.656205387	1.08682222	1.078440417	0.123881593	-0.767991471	1.653670825	1.119280138	1.415275896	0.751104965	1.500738119	0.584753162	0.911352634	-0.119985417	0.723036503	1.027786221	0.68302351	0.282586371	0.438964272	-0.029689088	0.887875008	0.975181026	0.517593069	0.125760703	0.309744836	1.242859149	0.745428895	0.403718206	0.832570826	-1.167232598	-0.784553691	-0.263885245	0.508576303	0.710750485	0.674237648	0.192867666
D00632_at	-1.112808543	-0.625087621	-0.134334764	-0.158813996	-1.384189725	-0.344569688	-0.073326756	0.157761623	-1.231534828	-0.476444231	-0.560737116	-1.109212345	-1.479492294	-0.764695206	-1.253517291	-1.155336705	-1.066678044	-0.813422925	-0.394157658	-1.442213656	-0.657397995	0.10050333	-0.703494812	-0.822770953	-1.236413225	-0.818021253	-1.549887581	-0.799537099	-0.589152868	-0.166985095	-0.251968666	-0.356001576	0.102448465	-1.039003503	-0.460710857	-0.775010983	0.071786904	0.073460705
D00726_at	-0.815957992	-0.308027559	-0.205494871	-0.706740534	-0.868117173	-0.70454726	-0.309557906	0.131781251	-0.475546938	-0.338738995	-0.577211022	-1.082441262	-0.654756467	-0.63762348	-1.741657945	-0.569353604	-0.760858066	-0.2477677	0.117765501	0.28648531	-0.060112812	-0.353087058	-0.258138986	-1.086132177	-0.309164043	-1.398402729	-0.226194576	0.069703228	0.776512308	0.068525466	-0.356926089	-0.493301357	0.401968044	-0.670401954	0.263108821	-0.412781543	1.15972089	1.002737583
D00760_at	0.045179125	-0.062431847	0.676437088	0.14653422	0.495933449	0.039524629	0.165135222	-0.461236316	0.545427032	0.078609923	0.543873602	0.247752695	0.003394019	0.156262278	0.395405267	-0.11686907	-0.791039381	0.37543334	0.038285889	0.63656645	0.735442483	0.110790146	-0.045695228	0.164112562	-0.143943161	-0.526518057	-0.233815178	0.059714269	0.423786609	0.010422705	0.282557249	-1.003022276	-0.485956919	-0.655833958	0.083629533	-0.657504202	0.182207648	0.043618905
D00761_at	-0.074579833	0.614587254	0.31301123	0.256751225	0.664808693	0.194849957	0.094825904	-0.199864163	0.458294325	0.898083477	0.73328952	0.499633018	0.751766712	0.201386569	0.668384875	0.288016786	-0.359646206	0.504198686	0.198583658	0.882557138	1.197169838	-0.106939836	0.560080241	0.693302011	-0.104507355	0.217922503	-0.116226854	0.63084461	1.278666713	0.899093012	0.663361665	-0.070704557	0.48351156	0.037017642	0.557734876	-0.046783416	0.942596353	0.791455462
